I,date,IXIC.Close,BAM
1111,6/3/2014,4234.080078,3.59
1112,6/4/2014,4251.640137,3.59
1113,6/5/2014,4296.22998,3.59
1114,6/6/2014,4321.399902,3.53
1115,6/9/2014,4336.240234,3.5
1116,6/10/2014,4338,3.46
1117,6/11/2014,4331.930176,3.46
1118,6/12/2014,4297.629883,3.5
1119,6/13/2014,4310.649902,3.47
1120,6/16/2014,4321.100098,3.43
1121,6/17/2014,4337.22998,3.39
1122,6/18/2014,4362.839844,3.41
1123,6/19/2014,4359.330078,3.39
1124,6/20/2014,4368.040039,3.36
1125,6/23/2014,4368.680176,3.35
1126,6/24/2014,4350.350098,3.37
1127,6/25/2014,4379.759766,3.43
1128,6/26/2014,4379.049805,3.47
1129,6/27/2014,4397.930176,3.48
1130,6/30/2014,4408.180176,3.53
1131,7/1/2014,4458.649902,3.5
1132,7/2/2014,4457.72998,3.46
1133,7/3/2014,4485.930176,3.44
1134,7/7/2014,4451.529785,3.44
1135,7/8/2014,4391.459961,3.48
1136,7/9/2014,4419.029785,3.51
1137,7/10/2014,4396.200195,3.62
1138,7/11/2014,4415.490234,3.61
1139,7/14/2014,4440.419922,3.57
1140,7/15/2014,4416.390137,3.6
1141,7/16/2014,4425.970215,3.63
1142,7/17/2014,4363.450195,3.74
1143,7/18/2014,4432.149902,3.78
1144,7/21/2014,4424.700195,3.8
1145,7/22/2014,4456.02002,3.79
1146,7/23/2014,4473.700195,3.77
1147,7/24/2014,4472.109863,3.72
1148,7/25/2014,4449.560059,3.75
1149,7/28/2014,4444.910156,3.74
1150,7/29/2014,4442.700195,3.8
1151,7/30/2014,4462.899902,3.79
1152,7/31/2014,4369.77002,4.04
1153,8/1/2014,4352.640137,4.25
1154,8/4/2014,4383.890137,4.24
1155,8/5/2014,4352.839844,4.17
1156,8/6/2014,4355.049805,4.21
1157,8/7/2014,4334.970215,4.2
1158,8/8/2014,4370.899902,4.2
1159,8/11/2014,4401.330078,4.12
1160,8/12/2014,4389.25,4.07
1161,8/13/2014,4434.129883,4.03
1162,8/14/2014,4453,3.97
1163,8/15/2014,4464.930176,3.97
1164,8/18/2014,4508.310059,3.89
1165,8/19/2014,4527.509766,3.85
1166,8/20/2014,4526.47998,3.79
1167,8/21/2014,4532.100098,3.81
1168,8/22/2014,4538.549805,3.79
1169,8/25/2014,4557.350098,3.77
1170,8/26/2014,4570.640137,3.78
1171,8/27/2014,4569.620117,3.81
1172,8/28/2014,4557.700195,3.82
1173,8/29/2014,4580.27002,3.8
1174,9/2/2014,4598.189941,3.8
1175,9/3/2014,4572.560059,3.83
1176,9/4/2014,4562.290039,3.85
1177,9/5/2014,4582.899902,3.93
1178,9/8/2014,4592.290039,3.92
1179,9/9/2014,4552.290039,3.93
1180,9/10/2014,4586.52002,4.01
1181,9/11/2014,4591.810059,4.05
1182,9/12/2014,4567.600098,4.03
1183,9/15/2014,4518.899902,4.06
1184,9/16/2014,4552.759766,4.1
1185,9/17/2014,4562.189941,4.05
1186,9/18/2014,4593.430176,3.98
1187,9/19/2014,4579.790039,3.97
1188,9/22/2014,4527.689941,4.02
1189,9/23/2014,4508.689941,4.13
1190,9/24/2014,4555.220215,4.18
1191,9/25/2014,4466.75,4.33
1192,9/26/2014,4512.189941,4.4
